"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITH59_0Web1qd9.","IT","10000002","MARECCHIA",44.06431,12.55249,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAE"
"ITH59_0Wqf1qHm.","IT","10000060","SAN CLEMENTE",43.93183,12.62728,"IT1915A",165,"background","rural","automatic",3,NA,NA,"ARPAE"
"ITI11_0QMK1qXn.","IT","450000007","MS-MARINA-VECCHIA",44.0311,10.13278,"IT2241A",42,"traffic","urban","automatic",3.5,NA,NA,"ARPAT"
"ITI12_0QeG1q9t.","IT","460000006","LU-VIAREGGIO",43.88291,10.24403,"IT1186A",3,"background","urban","automatic",3.5,NA,NA,"ARPAT"
"ITI12_0RVI1q2w.","IT","460000001","LU-CAPANNORI",43.83984,10.57283,"IT1187A",10,"background","urban","automatic",3.5,NA,NA,"ARPAT"
"ITI13_0SdA1qF5.","IT","470000005","PT-MONTALE",43.91514,11.00597,"IT1553A",48,"background","suburban","automatic",3.8,NA,NA,"ARPAT"
"ITI14_0TJw1ps1.","IT","480000004","FI-GRAMSCI",43.77207,11.27117,"IT0861A",49,"traffic","urban","automatic",3.8,NA,NA,"ARPAT"
"ITI14_0TMQ1puD.","IT","480000002","FI-BASSI",43.78565,11.28663,"IT0862A",61,"background","urban","automatic",3.8,NA,NA,"ARPAT"
"ITI15_0Sr51q8M.","IT","1000000002","PO-ROMA",43.87339,11.09231,"IT1654A",54,"background","urban","automatic",3.8,NA,NA,"ARPAT"
"ITI15_0St21q8R.","IT","1000000004","PO-FERRUCCI",43.87388,11.10441,"IT0945A",62,"traffic","urban","automatic",3.8,NA,NA,"ARPAT"
"ITI16_0Qqd1pDC.","IT","490000034","LI-CAPPIELLO",43.51898,10.32075,"IT1557A",13,"background","urban","automatic",3.8,NA,NA,"ARPAT"
"ITI16_0Qrv1pIn.","IT","490000037","LI-CARDUCCI",43.55374,10.32873,"IT1560A",9,"traffic","urban","automatic",3.8,NA,NA,"ARPAT"
"ITI17_0R3X1pmU.","IT","500000014","PI-PASSI",43.73783,10.40069,"IT1110A",5,"background","urban","automatic",3.8,NA,NA,"ARPAT"
"ITI17_0R4y1piU.","IT","500000015","PI-BORGHETTO",43.71301,10.4096,"IT1409A",5,"traffic","urban","automatic",3.5,NA,NA,"ARPAT"
"ITI18_0UvQ1p3h.","IT","510000003","AR-ACROPOLI",43.46007,11.88803,"IT0950A",260,"background","urban","automatic",3.8,NA,NA,"ARPAT"
"ITI19_0Syw1p5b.","IT","520000029","SI-POGGIBONSI",43.47191,11.14103,"IT2032A",105,"background","urban","automatic",3.8,NA,NA,"ARPAT"
"ITI1A_0SvG1nHd.","IT","530000001","GR-URSS",42.77768,11.11821,"IT1593A",10,"background","urban","automatic",3.5,NA,NA,"ARPAT"
"ITI41_0Uta1nB0.","IT","59","Acquapendente",42.73665,11.87658,NA,436,"background","rural",NA,NA,NA,NA,"ARPA-Lazio"
"ITI41_0VV51mMH.","IT","32","Viterbo",42.42206,12.10913,"IT0863A",338,"traffic","urban","automatic",3,NA,NA,"ARPA-Lazio"
"ITI42_0Xie1mkY.","IT","37","Leonessa",42.57259,12.96198,"IT0989A",948,"background","rural","automatic",3,NA,NA,"ARPA-Lazio"
"ITI42_0XRu1mJN.","IT","17","Rieti 1",42.40409,12.85822,"IT0867A",397,"traffic","urban","automatic",3,NA,NA,"ARPA-Lazio"
"ITI43_0Uei1lWg.","IT","103","Fiumaretta",42.10216,11.78436,NA,1,NA,NA,NA,NA,NA,NA,"ARPA-Lazio"
"ITI43_0Uij1lTO.","IT","105","Campo dell'Oro",42.08183,11.80934,NA,74,NA,NA,NA,NA,NA,NA,"ARPA-Lazio"
"ITI43_0Uk51lW9.","IT","104","Faro",42.0989,11.81769,NA,174,NA,NA,NA,NA,NA,NA,"ARPA-Lazio"
"ITI43_0UxM1lgA.","IT","107","Allumiere - v.Aldo Moro",42.16097,11.90002,NA,467,NA,NA,NA,NA,NA,NA,"ARPA-Lazio"
"ITI43_0Vpi1keo.","IT","87","Fiumicino Villa Guglielmi",41.76819,12.23705,NA,21,NA,NA,NA,NA,NA,NA,"ARPA-Lazio"
"ITI43_0VuR1kyM.","IT","40","Castel di Guido",41.88944,12.2663,"IT0952A",61,"background","rural","automatic",3,NA,NA,"ARPA-Lazio"
"ITI43_0W7E1kw1.","IT","57","Malagrotta",41.87489,12.3456,"IT2012A",NA,"background","suburban","automatic",3,NA,NA,"ARPA-Lazio"
"ITI43_0WhD1ktF.","IT","8","Cinecitta",41.85772,12.56866,"IT0956A",53,"background","urban","automatic",3,NA,NA,"ARPA-Lazio"
"ITI43_0WNg1l16.","IT","49","Cipro",41.90636,12.4476,"IT1836A",31,"background","urban","automatic",3,NA,NA,"ARPA-Lazio"
"ITI43_0WRE1l7i.","IT","3","Francia",41.94745,12.46959,"IT0825A",43,"traffic","urban","automatic",NA,NA,NA,"ARPA-Lazio"
"ITI43_0WSA1kz6.","IT","56","Arenula",41.89402,12.47537,"IT1906A",31,"background","urban","automatic",3,NA,NA,"ARPA-Lazio"
