"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITF35_0cPd1hpe.","IT","ARPACAMPANIA_SA22","Salerno SA22 Osp. Via Vernieri",40.68222,14.76611,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF35_0cRT1hrl.","IT","ARPACAMPANIA_SA23","Salerno SA23 Scuola Conti",40.69528,14.7775,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF35_0cVp1hmK.","IT","ARPACAMPANIA_MERC","Salerno Parco Mercatello",40.66164,14.80451,"IT2269A",11,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF35_0cxT1heB.","IT","ARPACAMPANIA_PARCOF","Battipaglia Parco Fiume",40.61108,14.97586,"IT2268A",70,"background","urban","automatic",4.4,NA,NA,"ARPAC"
"ITF35_0eNF1hKL.","IT","ARPACAMPANIA_POLLA","Polla Area Ritovagliatore",40.48808,15.52008,NA,NA,NA,NA,NA,NA,NA,NA,"ARPAC"
"ITF43_0ifw1hQT.","IT",NA,"Statte - Ponte Wind",40.5261,17.1736,"IT1607A",10,"industrial","rural","automatic",3,3,50,"ARPA-Puglia"
"ITF43_0ikj1hWL.","IT",NA,"Statte - Via delle Sorgenti",40.5625,17.2033,"IT1608A",10,"industrial","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF43_0ioH1h9t.","IT",NA,"Taranto - San Vito",40.4233,17.2253,"IT1610A",10,"background","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF43_0ioM1hKQ.","IT",NA,"Taranto - Machiavelli",40.4886,17.2258,"IT1611A",10,"industrial","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF43_0ipW1hLM.","IT",NA,"Taranto - Archimede",40.4944,17.233,"IT1660A",10,"industrial","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF43_0iso1hPd.","IT",NA,"Taranto - CISI",40.5209,17.2534,NA,NA,"industrial","rural",NA,NA,NA,NA,"ARPA-Puglia"
"ITF43_0iuS1hFu.","IT",NA,"Taranto - Alto Adige",40.4606,17.2636,NA,NA,"traffic","urban",NA,NA,NA,NA,"ARPA-Puglia"
"ITF43_0iWl1hbO.","IT",NA,"Massafra -Via Frappietri",40.5938,17.1167,NA,NA,"industrial","urban",NA,NA,NA,NA,"ARPA-Puglia"
"ITF43_0ixj1h83.","IT",NA,"Taranto - Talsano",40.4119,17.2839,"IT1614A",10,"background","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF43_0j5T1hse.","IT",NA,"Martina Franca - Via Stazione",40.7008,17.3319,"IT1680A",400,"traffic","urban","automatic",3,10,20,"ARPA-Puglia"
"ITF43_0jKJ1hSM.","IT",NA,"Grottaglie - Via XXV Luglio",40.5378,17.4239,"IT1679A",200,"background","suburban","automatic",3,NA,NA,"ARPA-Puglia"
