"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITH20_0SwY1vpV.","IT","402209","TRENTO PSC",46.06293,11.12621,"IT1037A",203,"background","urban","automatic",4,NA,NA,"APPA-Trento"
"ITH20_0TnP1vni.","IT","402201","BORGO VAL",46.05184,11.45389,"IT0703A",380,"background","suburban","automatic",4,NA,NA,"APPA-Trento"
"ITH31_0Sh31uBu.","IT","502315","VR-Giarol Grande",45.43301,11.03009,"IT2243A",49,"background","suburban","automatic",2.75,NA,NA,"ARPAV"
"ITH31_0Si91ub6.","IT","502314","Boscochiesanuova",45.58918,11.03686,"IT1848A",824,"background","rural","automatic",2.75,NA,NA,"ARPAV"
"ITH31_0TQH1tXW.","IT","502313","Legnago",45.18263,11.31051,"IT1535A",25,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH32_0TZV1uvA.","IT","502404","Schio",45.71356,11.36766,"IT0663A",190,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH32_0U151uWK.","IT","502409","VI - Quartiere Italia",45.55956,11.53865,"IT1177A",36,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH32_0U5t1vGy.","IT","502415","Asiago Cima Ekar",45.84876,11.56849,"IT1791A",1366,"background","rural","automatic",2.75,NA,NA,"ARPAV"
"ITH32_0UWt1v2X.","IT","502401","Bassano del Grappa",45.75927,11.73585,"IT1065A",114,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH33_0UyR1vkP.","IT","502506","Area Feltrina",46.03126,11.90665,"IT1619A",263,"background","suburban","automatic",2.75,NA,NA,"ARPAV"
"ITH33_0Vmb1w2G.","IT","502505","BL - Parco Citta' di Bologna",46.14196,12.21765,"IT1594A",401,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH33_0W9l1w5Z.","IT","502507","Pieve d'Alpago",46.16251,12.36128,"IT1790A",615,"background","rural","automatic",2.75,NA,NA,"ARPAV"
"ITH34_0Vpq1uoP.","IT","502608","TV - Via Lancieri",45.67172,12.23781,"IT1590A",15,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH34_0W111vNZ.","IT","502604","Conegliano",45.88973,12.30712,"IT1328A",72,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH34_0WXo1vF3.","IT","502609","Mansue'",45.83688,12.5104,"IT1596A",14,"background","rural","automatic",2.75,NA,NA,"ARPAV"
"ITH35_0Vtc1uMe.","IT","502701","VE - Parco Bissuola",45.49962,12.26125,"IT0963A",1,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH35_0W1x1uBA.","IT","502717","VE - Sacca Fisola",45.42842,12.31293,"IT0448A",0,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH35_0Wkl1uhX.","IT","502715","S.Dona' di Piave",45.62909,12.59068,"IT1222A",3,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH36_0UHp1toj.","IT","502812","Parco Colli Euganei",45.28927,11.64254,"IT1870A",18,"background","rural","automatic",2.75,NA,NA,"ARPAV"
"ITH36_0ULe1tef.","IT","502811","Este",45.22693,11.66618,"IT1871A",12,"industrial","suburban","automatic",2.75,NA,NA,"ARPAV"
"ITH36_0Uno1u1u.","IT","502808","PD - Mandria",45.37098,11.84084,"IT1453A",13,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH36_0Uxw1ud5.","IT","502814","S.Giustina in Colle",45.60155,11.90359,"IT2071A",25,"background","rural","automatic",2.75,NA,NA,"ARPAV"
"ITH37_0U3S1tKr.","IT","502969","Badia Polesine",45.10407,11.55338,"IT2072A",7,"background","rural","automatic",2.75,NA,NA,"ARPAV"
"ITH37_0Ufe1tAK.","IT","502902","RO - Borsea",45.03876,11.79015,"IT1214A",3,"background","urban","automatic",2.75,NA,NA,"ARPAV"
